"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2026-01-02 14:00:00",64.11187887375701,16.842961757526446,99.8935471994109,98.08731588428526,57.49999999999999
"2026-01-02 14:30:00",63.36210818144865,17.470649773334884,99.88954521442636,98.09791247218396,
"2026-01-02 15:00:00",65.40979270880305,18.784145065674764,99.89314700091245,98.1641411465508,55.00000000000001
"2026-01-02 15:30:00",66.46740934874705,17.052191096129256,99.89674878739855,98.09526332520929,
"2026-01-02 16:00:00",66.99694523127427,18.133209345577125,99.89194640541709,98.15354455865213,57.49999999999999
"2026-01-02 16:30:00",67.64846776885467,17.563640590491687,99.89194640541709,98.19063261629756,
"2026-01-02 17:00:00",67.68359985618663,18.923631291409972,99.89194640541709,98.08731588428526,57.49999999999999
"2026-01-02 17:30:00",68.58949864658057,17.505521329768687,99.8935471994109,97.79855886404579,
"2026-01-02 18:00:00",69.21916286390098,15.273741718005345,99.89194640541709,97.16276359012397,52.5
"2026-01-02 18:30:00",72.86326982600552,16.517493897477625,99.8935471994109,97.86213839143795,
"2026-01-02 19:00:00",74.98698088746302,16.819714053237245,99.89194640541709,98.03433294479179,50
"2026-01-02 19:30:00",74.51463955324643,15.49459490875276,99.8935471994109,97.91247218395677,
"2026-01-02 20:00:00",72.96457611836533,14.32058584214809,99.89194640541709,97.53894246052771,37.5
"2026-01-02 20:30:00",72.44026888100909,16.168778333139603,99.89834958139237,97.31641411465507,
"2026-01-02 21:00:00",68.61996769606435,16.715099383935836,99.8935471994109,97.60517113489458,35
"2026-01-02 21:30:00",61.29649431006341,16.970824131117052,99.89234660391554,97.32171240860443,
"2026-01-02 22:00:00",55.169512364524046,16.691851679646636,99.89194640541709,97.45152061036346,25
"2026-01-02 22:30:00",46.77688082820527,16.633732418923632,99.8935471994109,97.1813076189467,
"2026-01-02 23:00:00",40.59419316830301,17.08706265256306,99.8899454129248,97.00646391861821,22.5
"2026-01-02 23:30:00",33.44474353355927,16.273393002441008,99.89594839040163,97.06739429903571,
"2026-01-03 00:00:00",27.81797826096516,15.33186097872835,99.8935471994109,96.75744410299883,15
"2026-01-03 00:30:00",22.95403462784232,17.819365337672906,99.89194640541709,96.72565433930275,
"2026-01-03 01:00:00",19.400606307786443,18.098337789143322,99.89474779490627,96.33622973402565,12.5
"2026-01-03 01:30:00",17.11600296590522,17.7263745205161,99.87994045046344,96.0739641835329,
"2026-01-03 02:00:00",16.338040449336585,16.56398930605603,99.86593350301749,96.06336759563422,15
"2026-01-03 02:30:00",16.50703595670779,17.482273625479486,99.87353727448816,95.94945427572323,
"2026-01-03 03:00:00",17.91231619595995,18.41218179704754,99.8811410459588,95.62625834481298,15
"2026-01-03 03:30:00",19.484398980464047,19.77217249796583,99.88154124445725,95.70308360707853,
"2026-01-03 04:00:00",22.115291338191568,19.760548645821224,99.87994045046344,95.65010066758505,30
"2026-01-03 04:30:00",25.145549136819035,18.842264326397768,99.88314203845108,95.7984528981668,
"2026-01-03 05:00:00",30.90016079300565,19.888411019411834,99.88914501592791,95.84348839673625,42.5
"2026-01-03 05:30:00",38.035050061775415,19.888411019411834,99.87954025196498,96.03157783193814,
"2026-01-03 06:00:00",47.22179253542349,20.57421829594328,99.88034064896188,96.4739853767087,52.5
"2026-01-03 06:30:00",55.80877612160703,19.84191561083343,99.87673886247578,96.59054784359436,
"2026-01-03 07:00:00",64.82962804034901,20.76019993025689,99.87833965646962,97.13097382642789,65
"2026-01-03 07:30:00",71.95297953817862,19.83029175868883,99.88354223694952,97.0382536823143,
"2026-01-03 08:00:00",77.14414797892788,20.481227478786472,99.88314203845108,97.26343117516161,62.5
"2026-01-03 08:30:00",80.19092123811457,20.60908985237708,99.87994045046344,97.61576772279325,
"2026-01-03 09:00:00",81.38348932947555,21.015924677438104,99.8847428324449,97.37999364204727,62.5
"2026-01-03 09:30:00",80.5822677331493,19.609438567941417,99.88154124445725,97.53364416657837,
"2026-01-03 10:00:00",80.78937107209696,19.2955945600372,99.88234164145416,97.65815407438805,60
"2026-01-03 10:30:00",80.78396642185015,19.225851447169592,99.88714402343562,97.87803327328601,
"2026-01-03 11:00:00",79.56526461502091,18.598163431361154,99.88274183995262,97.93896365370351,57.49999999999999
"2026-01-03 11:30:00",77.7183180834934,19.097989073578987,99.88554322944181,97.69789127900816,
"2026-01-03 12:00:00",75.03222938339613,18.040218528420322,99.88074084746034,97.75087421850164,57.49999999999999
"2026-01-03 12:30:00",72.89745247472067,19.179356038591187,99.88234164145416,98.14029882377874,
"2026-01-03 13:00:00",69.662617612248,19.911658723701038,99.87873985496807,98.3177916710819,62.5
"2026-01-03 13:30:00",68.16640405393962,19.388585377194005,99.88554322944181,98.42905584401824,
